#Hinchliff CE, Roalson EH (2012) Data from: Using supermatrices for phylogenetic inquiry: an example using the sedges. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.6p76c3pb
#http://datadryad.org/bitstream/handle/10255/dryad.38186/cyp_states.csv

name,tropical
Bulbostylis_pseudoperennis,1
Bulbostylis_puberula,1
Bulbostylis_pusilla,1
Bulbostylis_pyriformis,0
Bulbostylis_quaternella,1
Bulbostylis_rarissima,1
Bulbostylis_renschii,1
Bulbostylis_rhizomatosa,1
Bulbostylis_rotundata,1
Bulbostylis_rufescens,1
Bulbostylis_rugosa,0
Bulbostylis_rumokensis,1
Bulbostylis_scabra,1
Bulbostylis_scabricaulis,1
Bulbostylis_schaffneri,0
Bulbostylis_schimperiana,1
Bulbostylis_schlechteri,1
Bulbostylis_schoenoides,1
Bulbostylis_schomburgkiana,1
Bulbostylis_schraderiana,1
Bulbostylis_scirpoides,1
Bulbostylis_scleropus,1
Bulbostylis_sellowiana,1
Bulbostylis_sepiacea,0
Bulbostylis_setacea,1
Bulbostylis_smithii,1
Bulbostylis_somaliensis,1
Bulbostylis_sphaerocarpa,1
Bulbostylis_sphaerocephala,0
Bulbostylis_splendens,1
Bulbostylis_stenocarpa,1
Bulbostylis_stenophylla,0
Bulbostylis_striata,1
Bulbostylis_subaphylla,1
Bulbostylis_subsphaerocephala,1
Bulbostylis_subspinescens,1
Bulbostylis_subtilis,0
Bulbostylis_subumbellata,1
Bulbostylis_surinamensis,1
Bulbostylis_svensoniana,1
Bulbostylis_swamyi,1
Bulbostylis_tanzaniae,1
Bulbostylis_taylorii,1
Bulbostylis_tenella,1
Bulbostylis_tenerrima,0
Bulbostylis_tenuifolia,1
Bulbostylis_trabeculata,1
Bulbostylis_trichobasis,1
Bulbostylis_trichoides,1
Bulbostylis_trilobata,1
Bulbostylis_trullata,1
Bulbostylis_truncata,1
Bulbostylis_tuerckheimii,1
Bulbostylis_turbinata,0
Bulbostylis_ugandensis,1
Bulbostylis_vaginosa,1
Bulbostylis_vanderystii,1
Bulbostylis_vestita,1
Bulbostylis_viguieri,1
Bulbostylis_viridicarinata,1
Bulbostylis_warei,0
Bulbostylis_wilsonii,0
Bulbostylis_wombaliensis,1
Bulbostylis_xerophila,1
Calyptrocarya_bicolor,1
Calyptrocarya_delascioi,1
Calyptrocarya_glomerulata,1
Calyptrocarya_irwiniana,1
Calyptrocarya_luzuliformis,1
Calyptrocarya_monocephala,1
Calyptrocarya_montesii,1
Calyptrocarya_poeppigiana,1
Capeobolus_brevicaulis,0
Capitularina_involucrata,1
Carex_aboriginum,0
Carex_abrupta,0
Carex_abscondita,0
Carex_acaulis,0
Carex_accrescens,0
Carex_acicularis,0
Carex_acidicola,0
Carex_acocksii,0
Carex_acuta,0
Carex_acutata,1
Carex_acutiformis,1
Carex_adelostoma,0
Carex_adrienii,1
Carex_adusta,0
Carex_aematorrhyncha,0
